DateTime,Description,Amount,Type,Category
2025-01-02 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-01-02 10:23:54,STARBUCKS #1425,5.85,Expense,Food
2025-01-02 12:45:30,UBER *TRIP 4839,18.40,Expense,Transport
2025-01-05 09:13:02,TRANSFER FROM CLIENT X,650.00,Income,Freelance
2025-01-05 13:58:11,WALMART SUPERCENTER 238,96.42,Expense,Groceries
2025-01-05 21:17:19,NETFLIX.COM,15.99,Expense,Entertainment
2025-01-10 07:55:40,COFFEE BEAN CAFE,4.30,Expense,Food
2025-01-10 17:08:23,APPLE.COM/BILL,2.99,Expense,Entertainment
2025-01-15 08:20:05,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-01-15 11:35:49,WHOLE FOODS MARKET,83.10,Expense,Groceries
2025-01-20 13:12:40,PLANET FITNESS MEMBERSHIP,45.00,Expense,Fitness
2025-01-25 09:45:06,BONUS PAYMENT - PAYROLL,300.00,Income,Work
2025-01-28 20:41:08,ELECTRIC UTILITY PAYMENT,92.70,Expense,Utilities
2025-02-01 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-02-03 14:19:25,NIKE.COM ORDER #73822,88.45,Expense,Shopping
2025-02-05 11:27:59,STARBUCKS #1425,5.75,Expense,Food
2025-02-08 08:50:42,CLIENT TRANSFER - PROJECT Z,550.00,Income,Freelance
2025-02-10 12:39:10,COSTCO WHOLESALE,126.40,Expense,Groceries
2025-02-12 21:00:47,SPOTIFY SUBSCRIPTION,9.99,Expense,Entertainment
2025-02-15 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-02-18 18:17:44,OLIVE GARDEN #128,37.80,Expense,Food
2025-02-20 13:32:45,AMAZON MARKETPLACE,55.18,Expense,Shopping
2025-02-25 11:04:55,TARGET STORE 1175,93.35,Expense,Groceries
2025-02-28 20:12:03,PARKING METER #A739,7.00,Expense,Transport
2025-03-01 08:45:09,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-03-03 13:12:30,CHIPOTLE #1159,12.60,Expense,Food
2025-03-05 21:03:42,DISNEY+,13.99,Expense,Entertainment
2025-03-08 09:18:25,CLIENT TRANSFER - BRAND B,500.00,Income,Freelance
2025-03-10 15:24:33,FOOT LOCKER PURCHASE,89.00,Expense,Shopping
2025-03-12 20:52:15,UBER RIDE #98222,21.60,Expense,Transport
2025-03-15 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-03-18 12:28:37,BURGER KING #209,10.75,Expense,Food
2025-03-20 17:33:11,WATER UTILITY PAYMENT,32.90,Expense,Utilities
2025-03-25 12:58:47,TRADER JOES 842,72.30,Expense,Groceries
2025-03-28 20:40:25,SUSHI HOUSE RESTAURANT,26.10,Expense,Food
2025-04-01 09:05:14,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-04-03 10:23:54,STARBUCKS #1425,5.85,Expense,Food
2025-04-05 09:07:22,INTEREST CREDIT,8.43,Income,Investments
2025-04-08 12:45:30,UBER *TRIP 4839,18.40,Expense,Transport
2025-04-10 13:58:11,WALMART SUPERCENTER 238,106.42,Expense,Groceries
2025-04-12 14:19:25,GAP CLOTHING STORE,78.45,Expense,Shopping
2025-04-15 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-04-18 11:35:49,WHOLE FOODS MARKET,93.10,Expense,Groceries
2025-04-20 13:12:40,PLANET FITNESS MEMBERSHIP,45.00,Expense,Fitness
2025-04-25 09:45:06,QUARTERLY BONUS,500.00,Income,Work
2025-04-28 20:41:08,ELECTRIC UTILITY PAYMENT,98.70,Expense,Utilities
2025-05-01 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-05-03 08:50:42,CLIENT TRANSFER - MAY PROJECT,600.00,Income,Freelance
2025-05-05 12:39:10,COSTCO WHOLESALE,136.40,Expense,Groceries
2025-05-08 21:00:47,HULU SUBSCRIPTION,14.99,Expense,Entertainment
2025-05-10 18:17:44,RED LOBSTER RESTAURANT,42.80,Expense,Food
2025-05-12 13:32:45,AMAZON PRIME PURCHASE,65.18,Expense,Shopping
2025-05-15 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-05-18 11:04:55,TARGET STORE 1175,103.35,Expense,Groceries
2025-05-20 17:26:40,GYM SUPPLEMENT STORE,38.50,Expense,Fitness
2025-05-25 13:12:30,FIVE GUYS BURGERS,16.60,Expense,Food
2025-05-28 17:33:11,WATER UTILITY PAYMENT,34.90,Expense,Utilities
2025-06-01 09:05:14,ACH CREDIT PAYROLL,2540.75,Income,Work
